A whole bunch of spiders in a SWAT suit
Al "Otta" Gore
AMERICA
Assist Endsson
Beat Punchbeef
Blast Hardcheese
Blast Thickneck
Bob Johnson
Bold Bigflank
Bold Corpsemaker
Bolt Vanderhuge
Brick Hardmeat
Buck Plankchest
Buck Shot
Buff Drinklots
Buff Hardback
Buster Shooter
Butch Deadlift
Chip Spawner
Crud Bonemeal
Crunch Buttsteak
Crush McStompbones
Dirk Hardpeck
Duke Killington
Evil Bob Marley
Evil Martin Luther King
Fist Rockbone
Flint Ironstag
Fridge Largemeat
George Forge
George Melons
Gibbs McLargehuge
GORE Vidal
Grieffton Smith
Gristle McThornBody
Hank Chesthair
Hans Testosteroneson
Hugo Beatdownsson
Killiam Shakespeare
Killing McKillingalot
Killsyou McFast
Lance Killiam
Leonardo Da Viking
Lump Beefrock
Mancrush McBrorape
Max Damage
Max Pain
Max Power
Maximilian Murderface
Maxx Power
Moustache McBeard
Muscle McHeadshot
Noam Bombsky
Pack Blowfist
Powell Gamers
Punch Rockgroin
Punch Sideiron
Punck Kichhard
Punt Speedchunk
Reef Blastbody
Rex Dudekiller VII
Rip Sidecheek
Rip Steakface
Roll Fizzlebeef
Sarah Pain
Seamus McTosterone
Sgt. Slaughter
Sir Killaslot
Slab Bulkhead
Slab Squatthrust
Slake Fistcrunch
Slate Slabrock
Smash Lampjaw
Smoke Manmuscle
Splint Chesthair
Stabby McGee
Steel Hardboner
Stump Beefgnaw
Stump Chunkman
Tackle McKickpunch
THAT DAMN FAGGOT TRAITOR GEORGE MELONS
Theodore Pain
Thick McRunfast
Toolboxl Rose
Touch Rustrod
Tough Ironside
Tough McIronfist
Trunk Slamchest
Zombie Gandhi
